PARB   -45.6217  -23.3382   767   35.36  1.32   Assumpcao etal.2012 statistics JSAmES2012 
PAZB   -50.8634  -15.1369   410   34.00  0.96   Assumpcao etal.2012 statistics JSAmES2012 
PDCB   -39.1238  -12.5306   220   38.23  0.67   Assumpcao etal.2012 statistics JSAmES2012 
POPB   -52.8368  -22.4565   283   45.13  0.73   Assumpcao etal.2012 statistics JSAmES2012 
PORB   -49.0787  -13.3304   365   36.41  0.56   Assumpcao etal.2012 statistics JSAmES2012 
PP1B   -54.8797  -17.6003   363   33.22  0.63   Assumpcao etal.2012 statistics JSAmES2012 
PPDB   -51.3136  -22.0326   300   42.11  1.06   Assumpcao etal.2012 statistics JSAmES2012 
PRCB   -46.8188  -17.2702   777   40.99  1.15   Assumpcao etal.2012 statistics JSAmES2012 
PTMB   -57.4756  -21.4630   240   43.90  0.93   Assumpcao etal.2012 statistics JSAmES2012 
RCLB   -47.5310  -22.4191   660   41.14  0.66   Assumpcao etal.2012 statistics JSAmES2012 
RCLB   -47.5310  -22.4191   660   43.43  2.09   Assumpcao etal.2012 statistics JSAmES2012 
RIFB   -47.5019  -20.0737   860   45.00  1.14   Assumpcao etal.2012 statistics JSAmES2012 
RSTB   -48.8276  -24.6968   173   35.51  0.92   Assumpcao etal.2012 statistics JSAmES2012 
SLMB   -50.3455  -16.5705   700   33.53  0.58   Assumpcao etal.2012 statistics JSAmES2012 
SNVB   -51.8771    0.9051   248   37.04  0.72   Assumpcao etal.2012 statistics JSAmES2012 
SPB    -47.4270  -23.5927   647   42.09  2.06   Assumpcao etal.2012 statistics JSAmES2012 
STMB   -54.9572   -2.7515   195   43.17  4.64   Assumpcao etal.2012 statistics JSAmES2012 
TRIB   -51.3260  -20.6724   290   47.09  0.64   Assumpcao etal.2012 statistics JSAmES2012 
TRMB   -44.9290  -18.0922   800   38.47  0.47   Assumpcao etal.2012 statistics JSAmES2012 
TRRB   -43.1955  -22.1541   222   37.77  0.60   Assumpcao etal.2012 statistics JSAmES2012 
TRSB   -42.7059   -4.8730   125   38.72  0.60   Assumpcao etal.2012 statistics JSAmES2012 
VABB   -46.9658  -23.0022   808   44.42  2.77   Assumpcao etal.2012 statistics JSAmES2012 
KOG    -52.7320    5.2070    10   41.00  0.99   Assumpcao etal.2012 statistics JSAmES2012 
MPG    -52.6440    5.1100   147   41.00  0.99   Assumpcao etal.2012 statistics JSAmES2012 
RCBR   -35.9014   -5.8274   260   31.99  2.62   Assumpcao etal.2012 statistics JSAmES2012 
SAML-S -63.1832   -9.2000   152   50.50  0.99   Assumpcao etal.2012 statistics JSAmES2012 
SAML-NW -63.350   -8.8000   152   44.90  0.99   Assumpcao etal.2012 statistics JSAmES2012 
TRQA   -61.9787  -38.0568   540   41.00  1.40   Assumpcao etal.2012 statistics JSAmES2012 
PLCA   -70.5510  -40.7330  1050   36.00  0.99   Assumpcao etal.2012 statistics JSAmES2012 
LPAZ   -68.0784  -16.1727  4717   62.00  0.99   Assumpcao etal.2012 statistics JSAmES2012 
PTGA   -59.9666   -0.7308   141   50.73  4.42   Assumpcao etal.2012 statistics JSAmES2012 
BRA7   -48.0148  -15.6418  1020   41.46  1.98   Assumpcao etal.2012 statistics JSAmES2012 
CAN3   -48.2898  -13.0993   330   39.50  1.88   Assumpcao etal.2012 statistics JSAmES2012 
FOR1   -38.7680   -3.7783   280   32.60  1.83   Assumpcao etal.2012 statistics JSAmES2012 
JAN7   -44.3112  -15.0581   490   40.30  1.00   Assumpcao etal.2012 statistics JSAmES2012 
PDRB   -56.7296  -11.6123   490   37.60  1.50   Assumpcao etal.2012 statistics JSAmES2012 
SFA1   -47.7018  -17.9707   766   35.34  1.70   Assumpcao etal.2012 statistics JSAmES2012 
TUCA   -49.7090   -3.7920    60   30.60  4.50   Assumpcao etal.2012 statistics JSAmES2012 
AGBR   -35.8361   -8.4295   470   34.40  1.70   Assumpcao etal.2012 statistics JSAmES2012 
OCBR   -38.2921   -4.5813   140   33.20  1.80   Assumpcao etal.2012 statistics JSAmES2012 
PFBR   -38.2708   -6.1216   220   30.00  0.99   Assumpcao etal.2012 statistics JSAmES2012 
SBBR   -40.2717   -3.7452   110   33.50  2.10   Assumpcao etal.2012 statistics JSAmES2012 
