-68.05  -32.39   507   50.0  3.33  MohoMaksymowicz.txt_ 
-68.77  -32.10   634   55.0  3.33  MohoMaksymowicz.txt_ 
-69.34  -32.22  2524   60.0  3.33  MohoMaksymowicz.txt_ 
-70.58  -32.50  2913   45.0  3.33  MohoMaksymowicz.txt_ 
-70.58  -32.03  3348   40.0  3.33  MohoMaksymowicz.txt_ 
-67.33  -31.46   593   45.0  3.33  MohoMaksymowicz.txt_ 
-67.87  -31.58   575   50.0  3.33  MohoMaksymowicz.txt_ 
-68.68  -31.55   681   60.0  3.33  MohoMaksymowicz.txt_ 
-70.75  -31.71  3204   45.0  3.33  MohoMaksymowicz.txt_ 
-71.17  -31.75  1214   30.0  3.33  MohoMaksymowicz.txt_ 
-68.00  -21.70  4777   60.0  3.33       Sick06_7.3a 
-68.00  -22.70  4656   60.0  3.33       Sick06_7.3a 
-69.00  -21.00  4038   70.0  3.33       Sick06_7.3b 
-69.00  -21.70  3604   68.0  3.33       Sick06_7.3b 
-69.00  -22.90  2847   65.0  3.33       Sick06_7.3b 
-69.00  -23.50  2667   69.0  3.33       Sick06_7.3b 
-68.45  -21.00  3828   72.0  3.33       Wolbern09_6 
-68.00  -21.00  3810   67.0  3.33       Wolbern09_6 
-67.50  -21.00  3841   67.0  3.33       Wolbern09_6 
-67.00  -21.00  3917   75.0  3.33       Wolbern09_6 
-66.00  -21.00  3749   75.0  3.33       Wolbern09_6 
-65.00  -21.00  2591   59.0  3.33       Wolbern09_6 
-64.35  -21.00  1132   49.0  3.33       Wolbern09_6 
-68.40  -25.50  4439   62.0  3.33       Wolbern09_9 
-68.00  -25.50  4343   60.0  3.33       Wolbern09_9 
-67.60  -25.50  4074   59.0  3.33       Wolbern09_9 
-67.10  -25.50  4131   57.0  3.33       Wolbern09_9 
-66.78  -25.50  4318   70.0  3.33       Wolbern09_9 
-66.20  -25.50  2481   65.0  3.33       Wolbern09_9 
-70.00  -22.50  1524   35.0  3.33         Yuan00_3b 
-69.50  -22.50  1554   49.0  3.33         Yuan00_3b 
-69.00  -22.50  2591   60.0  3.33         Yuan00_3b 
-68.00  -22.50  4877   85.0  3.33         Yuan00_3b 
-67.00  -22.50  4648   79.0  3.33         Yuan00_3b 
-66.50  -22.50  4419   78.0  3.33         Yuan00_3b 
-66.00  -22.50  3612   70.0  3.33         Yuan00_3b 
-65.00  -22.50  1829   62.0  3.33         Yuan00_3b 
-69.00  -23.50  2667   65.0  3.33         Yuan00_3c 
-68.60  -23.50  2590   72.0  3.33         Yuan00_3c 
-68.00  -23.50  4039   70.0  3.33         Yuan00_3c 
-67.50  -23.50  4495   68.0  3.33         Yuan00_3c 
-67.00  -23.50  4190   67.0  3.33         Yuan00_3c 
-66.00  -23.50  3581   61.0  3.33         Yuan00_3c 
-65.00  -23.50  2133   50.0  3.33         Yuan00_3c 
-70.00  -24.50  1752   42.0  3.33         Yuan00_3d 
-69.50  -24.50  2515   52.0  3.33         Yuan00_3d 
-69.00  -24.50  3276   60.0  3.33         Yuan00_3d 
-68.50  -24.50  4495   68.0  3.33         Yuan00_3d 
-68.00  -24.50  3566   56.0  3.33         Yuan00_3d 
-67.50  -24.50  4039   50.0  3.33         Yuan00_3d 
-66.60  -24.50  4540   61.0  3.33         Yuan00_3d 
-66.00  -24.50  3581   53.0  3.33         Yuan00_3d 
-65.50  -24.50  1447   50.0  3.33         Yuan00_3d 
-67.50  -17.50  3963   67.0  3.33        Yuan02_6.a 
-66.50  -18.70  4038   73.0  3.33        Yuan02_6.a 
-68.50  -19.50  3687   70.0  3.33        Yuan02_6.a 
-67.50  -19.50  3932   57.0  3.33        Yuan02_6.a 
-65.50  -19.50  3200   62.0  3.33        Yuan02_6.a 
-64.50  -19.50  2057   52.0  3.33        Yuan02_6.a 
-63.50  -20.00   808   43.0  3.33        Yuan02_6.a 
-62.50  -19.50   350   30.0  3.33        Yuan02_6.a 
-68.50  -20.50  4236   67.0  3.33        Yuan02_6.a 
-66.50  -20.50  3977   80.0  3.33        Yuan02_6.a 
-68.50  -21.50  4191   65.0  3.33        Yuan02_6.a 
-69.50  -22.50  1554   35.0  3.33        Yuan02_6.a 
-66.50  -22.50  4419   66.0  3.33        Yuan02_6.a 
-65.50  -22.50  4191   58.0  3.33        Yuan02_6.a 
-68.50  -23.50  2438   67.0  3.33        Yuan02_6.a 
-67.50  -23.50  4495   59.0  3.33        Yuan02_6.a 
-66.50  -23.50  4038   58.0  3.33        Yuan02_6.a 
-65.50  -23.50  3734   51.0  3.33        Yuan02_6.a 
-69.50  -24.50  2515   36.0  3.33        Yuan02_6.a 
-68.50  -24.50  4495   56.0  3.33        Yuan02_6.a 
-67.50  -24.50  4039   42.0  3.33        Yuan02_6.a 
-66.50  -24.50  4419   58.0  3.33        Yuan02_6.a 
-65.50  -24.50  1447   45.0  3.33        Yuan02_6.a 
-68.40  -21.00  3743   70.0  3.33        Yuan02_6.a 
-64.50  -21.00  1448   50.0  3.33        Yuan02_6.a 
-63.50  -21.00   655   40.0  3.33        Yuan02_6.a 
-68.40  -23.00  2377   65.0  3.33        Yuan02_6.a 
-67.50  -24.00  4267   60.0  3.33        Yuan02_6.a 
-72.40  -39.00   201   32.0  3.33          Yuan06_8 
-71.80  -39.00  1131   38.0  3.33          Yuan06_8 
-70.80  -39.00  1687   38.0  3.33          Yuan06_8 
-70.50  -39.00  1066   30.0  3.33          Yuan06_8 
-70.00  -39.00  1067   30.0  3.33          Yuan06_8 
-69.60  -39.00   771   33.0  3.33          Yuan06_8 
-68.70  -39.00   366   33.0  3.33          Yuan06_8 
